degree,x,exact,approx
1,-0.67968,0.0796869,0.0384615
1,-0.677678,0.0801207,0.0384615
1,-0.675676,0.0805578,0.0384615
1,-0.673674,0.0809985,0.0384615
1,-0.671672,0.0814427,0.0384615
1,-0.66967,0.0818904,0.0384615
1,-0.667668,0.0823418,0.0384615
1,-0.665666,0.0827967,0.0384615
1,-0.663664,0.0832554,0.0384615
1,-0.661662,0.0837177,0.0384615
1,-0.65966,0.0841838,0.0384615
1,-0.657658,0.0846536,0.0384615
1,-0.655656,0.0851273,0.0384615
1,-0.653654,0.0856049,0.0384615
1,-0.651652,0.0860863,0.0384615
1,-0.64965,0.0865717,0.0384615
1,-0.647648,0.0870611,0.0384615
1,-0.645646,0.0875545,0.0384615
1,-0.643644,0.088052,0.0384615
1,-0.641642,0.0885536,0.0384615
1,-0.63964,0.0890593,0.0384615
1,-0.637638,0.0895693,0.0384615
1,-0.635636,0.0900835,0.0384615
1,-0.633634,0.090602,0.0384615
1,-0.631632,0.0911248,0.0384615
1,-0.62963,0.091652,0.0384615
1,-0.627628,0.0921836,0.0384615
1,-0.625626,0.0927198,0.0384615
1,-0.623624,0.0932604,0.0384615
1,-0.621622,0.0938057,0.0384615
1,-0.61962,0.0943555,0.0384615
1,-0.617618,0.0949101,0.0384615
1,-0.615616,0.0954694,0.0384615
1,-0.613614,0.0960334,0.0384615
1,-0.611612,0.0966023,0.0384615
1,-0.60961,0.0971761,0.0384615
1,-0.607608,0.0977548,0.0384615
1,-0.605606,0.0983385,0.0384615
1,-0.603604,0.0989273,0.0384615
1,-0.601602,0.0995212,0.0384615
1,-0.5996,0.10012,0.0384615
1,-0.597598,0.100724,0.0384615
1,-0.595596,0.101334,0.0384615
1,-0.593594,0.101949,0.0384615
1,-0.591592,0.102569,0.0384615
1,-0.58959,0.103195,0.0384615
1,-0.587588,0.103826,0.0384615
1,-0.585586,0.104463,0.0384615
1,-0.583584,0.105106,0.0384615
1,-0.581582,0.105754,0.0384615
1,-0.57958,0.106408,0.0384615
1,-0.577578,0.107068,0.0384615
1,-0.575576,0.107733,0.0384615
1,-0.573574,0.108405,0.0384615
1,-0.571572,0.109083,0.0384615
1,-0.56957,0.109767,0.0384615
1,-0.567568,0.110457,0.0384615
1,-0.565566,0.111153,0.0384615
1,-0.563564,0.111856,0.0384615
1,-0.561562,0.112565,0.0384615
1,-0.55956,0.11328,0.0384615
1,-0.557558,0.114002,0.0384615
1,-0.555556,0.114731,0.0384615
1,-0.553554,0.115466,0.0384615
1,-0.551552,0.116208,0.0384615
1,-0.54955,0.116957,0.0384615
1,-0.547548,0.117713,0.0384615
1,-0.545546,0.118476,0.0384615
1,-0.543544,0.119247,0.0384615
1,-0.541542,0.120024,0.0384615
1,-0.53954,0.120808,0.0384615
1,-0.537538,0.1216,0.0384615
1,-0.535536,0.1224,0.0384615
1,-0.533534,0.123207,0.0384615
1,-0.531532,0.124021,0.0384615
1,-0.52953,0.124843,0.0384615
1,-0.527528,0.125673,0.0384615
1,-0.525526,0.126511,0.0384615
1,-0.523524,0.127357,0.0384615
1,-0.521522,0.128211,0.0384615
1,-0.51952,0.129074,0.0384615
1,-0.517518,0.129944,0.0384615
1,-0.515516,0.130823,0.0384615
1,-0.513514,0.131711,0.0384615
1,-0.511512,0.132607,0.0384615
1,-0.50951,0.133511,0.0384615
1,-0.507508,0.134425,0.0384615
1,-0.505506,0.135347,0.0384615
1,-0.503504,0.136279,0.0384615
1,-0.501502,0.13722,0.0384615
1,-0.499499,0.138169,0.0384615
1,-0.497497,0.139129,0.0384615
1,-0.495495,0.140097,0.0384615
1,-0.493493,0.141076,0.0384615
1,-0.491491,0.142064,0.0384615
1,-0.489489,0.143062,0.0384615
1,-0.487487,0.144069,0.0384615
1,-0.485485,0.145087,0.0384615
1,-0.483483,0.146115,0.0384615
1,-0.481481,0.147154,0.0384615
1,-0.479479,0.148203,0.0384615
1,-0.477477,0.149262,0.0384615
1,-0.475475,0.150332,0.0384615
1,-0.473473,0.151414,0.0384615
1,-0.471471,0.152506,0.0384615
1,-0.469469,0.153609,0.0384615
1,-0.467467,0.154723,0.0384615
1,-0.465465,0.155849,0.0384615
1,-0.463463,0.156987,0.0384615
1,-0.461461,0.158136,0.0384615
1,-0.459459,0.159297,0.0384615
1,-0.457457,0.16047,0.0384615
1,-0.455455,0.161656,0.0384615
1,-0.453453,0.162853,0.0384615
