degree,x,exact,approx
1,-0.573574,0.573574,1
1,-0.571572,0.571572,1
1,-0.56957,0.56957,1
1,-0.567568,0.567568,1
1,-0.565566,0.565566,1
1,-0.563564,0.563564,1
1,-0.561562,0.561562,1
1,-0.55956,0.55956,1
1,-0.557558,0.557558,1
1,-0.555556,0.555556,1
1,-0.553554,0.553554,1
1,-0.551552,0.551552,1
1,-0.54955,0.54955,1
1,-0.547548,0.547548,1
1,-0.545546,0.545546,1
1,-0.543544,0.543544,1
1,-0.541542,0.541542,1
1,-0.53954,0.53954,1
1,-0.537538,0.537538,1
1,-0.535536,0.535536,1
1,-0.533534,0.533534,1
1,-0.531532,0.531532,1
1,-0.52953,0.52953,1
1,-0.527528,0.527528,1
1,-0.525526,0.525526,1
1,-0.523524,0.523524,1
1,-0.521522,0.521522,1
1,-0.51952,0.51952,1
1,-0.517518,0.517518,1
1,-0.515516,0.515516,1
1,-0.513514,0.513514,1
1,-0.511512,0.511512,1
1,-0.50951,0.50951,1
1,-0.507508,0.507508,1
1,-0.505506,0.505506,1
1,-0.503504,0.503504,1
1,-0.501502,0.501502,1
1,-0.499499,0.499499,1
1,-0.497497,0.497497,1
1,-0.495495,0.495495,1
1,-0.493493,0.493493,1
1,-0.491491,0.491491,1
1,-0.489489,0.489489,1
1,-0.487487,0.487487,1
1,-0.485485,0.485485,1
1,-0.483483,0.483483,1
1,-0.481481,0.481481,1
1,-0.479479,0.479479,1
1,-0.477477,0.477477,1
1,-0.475475,0.475475,1
1,-0.473473,0.473473,1
1,-0.471471,0.471471,1
1,-0.469469,0.469469,1
1,-0.467467,0.467467,1
1,-0.465465,0.465465,1
1,-0.463463,0.463463,1
1,-0.461461,0.461461,1
1,-0.459459,0.459459,1
1,-0.457457,0.457457,1
1,-0.455455,0.455455,1
1,-0.453453,0.453453,1
1,-0.451451,0.451451,1
1,-0.449449,0.449449,1
1,-0.447447,0.447447,1
1,-0.445445,0.445445,1
1,-0.443443,0.443443,1
1,-0.441441,0.441441,1
1,-0.439439,0.439439,1
1,-0.437437,0.437437,1
1,-0.435435,0.435435,1
1,-0.433433,0.433433,1
1,-0.431431,0.431431,1
1,-0.429429,0.429429,1
1,-0.427427,0.427427,1
1,-0.425425,0.425425,1
1,-0.423423,0.423423,1
1,-0.421421,0.421421,1
1,-0.419419,0.419419,1
1,-0.417417,0.417417,1
1,-0.415415,0.415415,1
1,-0.413413,0.413413,1
1,-0.411411,0.411411,1
1,-0.409409,0.409409,1
1,-0.407407,0.407407,1
1,-0.405405,0.405405,1
1,-0.403403,0.403403,1
1,-0.401401,0.401401,1
1,-0.399399,0.399399,1
1,-0.397397,0.397397,1
1,-0.395395,0.395395,1
1,-0.393393,0.393393,1
1,-0.391391,0.391391,1
1,-0.389389,0.389389,1
1,-0.387387,0.387387,1
1,-0.385385,0.385385,1
1,-0.383383,0.383383,1
1,-0.381381,0.381381,1
1,-0.379379,0.379379,1
1,-0.377377,0.377377,1
1,-0.375375,0.375375,1
1,-0.373373,0.373373,1
1,-0.371371,0.371371,1
1,-0.369369,0.369369,1
1,-0.367367,0.367367,1
1,-0.365365,0.365365,1
1,-0.363363,0.363363,1
1,-0.361361,0.361361,1
1,-0.359359,0.359359,1
1,-0.357357,0.357357,1
1,-0.355355,0.355355,1
1,-0.353353,0.353353,1
1,-0.351351,0.351351,1
1,-0.349349,0.349349,1
1,-0.347347,0.347347,1
1,-0.345345,0.345345,1
1,-0.343343,0.343343,1
1,-0.341341,0.341341,1
1,-0.339339,0.339339,1
1,-0.337337,0.337337,1
1,-0.335335,0.335335,1
1,-0.333333,0.333333,1
1,-0.331331,0.331331,1
1,-0.329329,0.329329,1
1,-0.327327,0.327327,1
1,-0.325325,0.325325,1
1,-0.323323,0.323323,1
1,-0.321321,0.321321,1
1,-0.319319,0.319319,1
1,-0.317317,0.317317,1
1,-0.315315,0.315315,1
1,-0.313313,0.313313,1
1,-0.311311,0.311311,1
1,-0.309309,0.309309,1
1,-0.307307,0.307307,1
1,-0.305305,0.305305,1
1,-0.303303,0.303303,1
1,-0.301301,0.301301,1
1,-0.299299,0.299299,1
1,-0.297297,0.297297,1
1,-0.295295,0.295295,1
1,-0.293293,0.293293,1
1,-0.291291,0.291291,1
1,-0.289289,0.289289,1
1,-0.287287,0.287287,1
1,-0.285285,0.285285,1
1,-0.283283,0.283283,1
1,-0.281281,0.281281,1
1,-0.279279,0.279279,1
1,-0.277277,0.277277,1
1,-0.275275,0.275275,1
1,-0.273273,0.273273,1
1,-0.271271,0.271271,1
1,-0.269269,0.269269,1
1,-0.267267,0.267267,1
1,-0.265265,0.265265,1
1,-0.263263,0.263263,1
1,-0.261261,0.261261,1
1,-0.259259,0.259259,1
1,-0.257257,0.257257,1
1,-0.255255,0.255255,1
1,-0.253253,0.253253,1
1,-0.251251,0.251251,1
1,-0.249249,0.249249,1
1,-0.247247,0.247247,1
1,-0.245245,0.245245,1
1,-0.243243,0.243243,1
1,-0.241241,0.241241,1
1,-0.239239,0.239239,1
1,-0.237237,0.237237,1
1,-0.235235,0.235235,1
1,-0.233233,0.233233,1
1,-0.231231,0.231231,1
1,-0.229229,0.229229,1
1,-0.227227,0.227227,1
1,-0.225225,0.225225,1
1,-0.223223,0.223223,1
1,-0.221221,0.221221,1
1,-0.219219,0.219219,1
1,-0.217217,0.217217,1
1,-0.215215,0.215215,1
1,-0.213213,0.213213,1
1,-0.211211,0.211211,1
1,-0.209209,0.209209,1
1,-0.207207,0.207207,1
1,-0.205205,0.205205,1
1,-0.203203,0.203203,1
1,-0.201201,0.201201,1
1,-0.199199,0.199199,1
1,-0.197197,0.197197,1
1,-0.195195,0.195195,1
1,-0.193193,0.193193,1
1,-0.191191,0.191191,1
1,-0.189189,0.189189,1
1,-0.187187,0.187187,1
1,-0.185185,0.185185,1
1,-0.183183,0.183183,1
1,-0.181181,0.181181,1
1,-0.179179,0.179179,1
1,-0.177177,0.177177,1
1,-0.175175,0.175175,1
1,-0.173173,0.173173,1
1,-0.171171,0.171171,1
1,-0.169169,0.169169,1
1,-0.167167,0.167167,1
1,-0.165165,0.165165,1
1,-0.163163,0.163163,1
1,-0.161161,0.161161,1
1,-0.159159,0.159159,1
1,-0.157157,0.157157,1
1,-0.155155,0.155155,1
1,-0.153153,0.153153,1
1,-0.151151,0.151151,1
1,-0.149149,0.149149,1
1,-0.147147,0.147147,1
1,-0.145145,0.145145,1
1,-0.143143,0.143143,1
1,-0.141141,0.141141,1
1,-0.139139,0.139139,1
1,-0.137137,0.137137,1
1,-0.135135,0.135135,1
1,-0.133133,0.133133,1
1,-0.131131,0.131131,1
1,-0.129129,0.129129,1
1,-0.127127,0.127127,1
1,-0.125125,0.125125,1
1,-0.123123,0.123123,1
1,-0.121121,0.121121,1
1,-0.119119,0.119119,1
1,-0.117117,0.117117,1
1,-0.115115,0.115115,1
1,-0.113113,0.113113,1
1,-0.111111,0.111111,1
1,-0.109109,0.109109,1
1,-0.107107,0.107107,1
1,-0.105105,0.105105,1
1,-0.103103,0.103103,1
1,-0.101101,0.101101,1
1,-0.0990991,0.0990991,1
1,-0.0970971,0.0970971,1
1,-0.0950951,0.0950951,1
1,-0.0930931,0.0930931,1
1,-0.0910911,0.0910911,1
1,-0.0890891,0.0890891,1
1,-0.0870871,0.0870871,1
1,-0.0850851,0.0850851,1
1,-0.0830831,0.0830831,1
1,-0.0810811,0.0810811,1
1,-0.0790791,0.0790791,1
1,-0.0770771,0.0770771,1
1,-0.0750751,0.0750751,1
1,-0.0730731,0.0730731,1
1,-0.0710711,0.0710711,1
1,-0.0690691,0.0690691,1
1,-0.0670671,0.0670671,1
1,-0.0650651,0.0650651,1
1,-0.0630631,0.0630631,1
1,-0.0610611,0.0610611,1
1,-0.0590591,0.0590591,1
1,-0.0570571,0.0570571,1
1,-0.0550551,0.0550551,1
1,-0.0530531,0.0530531,1
1,-0.0510511,0.0510511,1
1,-0.049049,0.049049,1
1,-0.047047,0.047047,1
1,-0.045045,0.045045,1
1,-0.043043,0.043043,1
1,-0.041041,0.041041,1
1,-0.039039,0.039039,1
1,-0.037037,0.037037,1
1,-0.035035,0.035035,1
1,-0.033033,0.033033,1
1,-0.031031,0.031031,1
1,-0.029029,0.029029,1
1,-0.027027,0.027027,1
1,-0.025025,0.025025,1
1,-0.023023,0.023023,1
1,-0.021021,0.021021,1
1,-0.019019,0.019019,1
1,-0.017017,0.017017,1
1,-0.015015,0.015015,1
1,-0.013013,0.013013,1
1,-0.011011,0.011011,1
1,-0.00900901,0.00900901,1
1,-0.00700701,0.00700701,1
1,-0.00500501,0.00500501,1
1,-0.003003,0.003003,1
1,-0.001001,0.001001,1
1,0.001001,0.001001,1
1,0.003003,0.003003,1
1,0.00500501,0.00500501,1
1,0.00700701,0.00700701,1
1,0.00900901,0.00900901,1
1,0.011011,0.011011,1
1,0.013013,0.013013,1
1,0.015015,0.015015,1
1,0.017017,0.017017,1
1,0.019019,0.019019,1
1,0.021021,0.021021,1
1,0.023023,0.023023,1
1,0.025025,0.025025,1
1,0.027027,0.027027,1
1,0.029029,0.029029,1
1,0.031031,0.031031,1
1,0.033033,0.033033,1
1,0.035035,0.035035,1
1,0.037037,0.037037,1
1,0.039039,0.039039,1
1,0.041041,0.041041,1
1,0.043043,0.043043,1
1,0.045045,0.045045,1
1,0.047047,0.047047,1
1,0.049049,0.049049,1
1,0.0510511,0.0510511,1
1,0.0530531,0.0530531,1
1,0.0550551,0.0550551,1
1,0.0570571,0.0570571,1
1,0.0590591,0.0590591,1
1,0.0610611,0.0610611,1
1,0.0630631,0.0630631,1
1,0.0650651,0.0650651,1
1,0.0670671,0.0670671,1
1,0.0690691,0.0690691,1
1,0.0710711,0.0710711,1
1,0.0730731,0.0730731,1
1,0.0750751,0.0750751,1
1,0.0770771,0.0770771,1
1,0.0790791,0.0790791,1
1,0.0810811,0.0810811,1
1,0.0830831,0.0830831,1
1,0.0850851,0.0850851,1
1,0.0870871,0.0870871,1
1,0.0890891,0.0890891,1
1,0.0910911,0.0910911,1
1,0.0930931,0.0930931,1
1,0.0950951,0.0950951,1
1,0.0970971,0.0970971,1
1,0.0990991,0.0990991,1
1,0.101101,0.101101,1
1,0.103103,0.103103,1
1,0.105105,0.105105,1
1,0.107107,0.107107,1
1,0.109109,0.109109,1
1,0.111111,0.111111,1
1,0.113113,0.113113,1
1,0.115115,0.115115,1
1,0.117117,0.117117,1
1,0.119119,0.119119,1
1,0.121121,0.121121,1
1,0.123123,0.123123,1
1,0.125125,0.125125,1
1,0.127127,0.127127,1
1,0.129129,0.129129,1
1,0.131131,0.131131,1
1,0.133133,0.133133,1
1,0.135135,0.135135,1
1,0.137137,0.137137,1
1,0.139139,0.139139,1
1,0.141141,0.141141,1
1,0.143143,0.143143,1
1,0.145145,0.145145,1
1,0.147147,0.147147,1
1,0.149149,0.149149,1
1,0.151151,0.151151,1
1,0.153153,0.153153,1
1,0.155155,0.155155,1
1,0.157157,0.157157,1
1,0.159159,0.159159,1
1,0.161161,0.161161,1
1,0.163163,0.163163,1
1,0.165165,0.165165,1
1,0.167167,0.167167,1
1,0.169169,0.169169,1
1,0.171171,0.171171,1
1,0.173173,0.173173,1
1,0.175175,0.175175,1
1,0.177177,0.177177,1
1,0.179179,0.179179,1
1,0.181181,0.181181,1
1,0.183183,0.183183,1
